date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:41	702/702	---M--	200	added ('OK')	image/svg+xml	etag:%2263c86491-2be%22	https://conference.awwwards.com/assets/images/favicons/favicon.svg	conference.awwwards.com/assets/images/favicons/favicon.svg	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:43	196160/196160	---MCZ	200	added ('OK')	text/css	etag:W/%2263c86491-2fe40%22	https://conference.awwwards.com/assets/styles/main.css?v=202209141329	conference.awwwards.com/assets/styles/main4888.css	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:44	101468/101468	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:15%20GMT	https://conference.awwwards.com/speakers	conference.awwwards.com/speakers.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:44	92557/92557	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:16%20GMT	https://conference.awwwards.com/	conference.awwwards.com/index.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:45	71379/71379	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:16%20GMT	https://conference.awwwards.com/workshops	conference.awwwards.com/workshops.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:46	82014/82014	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:17%20GMT	https://conference.awwwards.com/schedule	conference.awwwards.com/schedule.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:47	87930/87930	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:18%20GMT	https://conference.awwwards.com/venue	conference.awwwards.com/venue.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:48	61157/61157	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:19%20GMT	https://conference.awwwards.com/news	conference.awwwards.com/news.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:49	61847/61847	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:20%20GMT	https://conference.awwwards.com/contact-us	conference.awwwards.com/contact-us.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:49	44014/44014	---M--	200	added ('OK')	image/svg+xml	etag:%2263c86491-abee%22	https://conference.awwwards.com/assets/images/sprite.svg	conference.awwwards.com/assets/images/sprite.svg	(from https://conference.awwwards.com/?utm_source=banner_lists)
